x_value	y_value	centroid	
3.182	13.148401	0	
0.299	0.021457656	0	
4.437	0.0	0	
4.48	0.041198731	0	
7.928	7.942770612	0	
4.556	8.21057256	0	
3.271	1.30119426	0	
2.664	0.082397412	0	
8.215	0.0	0	
6.816	0.013732898	0	
9.167	1.551818736	0	
13.587	0.0	0	
12.592	1.502037504	0	
2.538	0.00686646	0	
8.517	0.020599373	0	
14.929	1.750945536	0	
18.308	3.16028556	0	
19.483	0.521850564	0	
20.288	68.00623704	2	
18.173	31.3762658	2	
6.358	0.022315968	0	
11.735	0.003433226	0	
12.985	4.310415612	0	
8.679	0.0	0	
6.261	1.057434379	0	
4.151	14.90536044	0	
6.901	0.181961078	0	
6.021	0.0	0	
2.203	5.809877777	0	
5.959	7.766822124	0	
2.974	0.049781801	0	
6.284	0.0	0	
12.812	4.681207454	0	
10.227	13.84621229	0	
7.644	13.4299265	0	
5.142	19.2990276	2	
3.428	28.29322246	2	
4.677	0.799942464	0	
13.873	0.44460324	0	
5.988	0.224876664	0	
11.399	0.0	0	
13.758	0.266075143	0	
15.518	2.338027308	0	
21.788	0.47464393	0	
17.243	2.0513538	0	
18.938	3.228949548	0	
11.018	3.37228812	0	
2.506	25.67711016	2	
5.889	2.566337112	0	
10.978	0.082397462	0	
15.444	4.291536528	0	
19.939	1.083183221	0	
22.935	1.644516252	0	
20.639	8.1367524	0	
18.253	5.980682988	0	
10.546	0.296974534	0	
15.595	0.0	0	
16.201	0.020599373	0	
19.226	0.772476768	0	
20.061	0.0	0	
19.496	2.581788348	0	
20.159	5.005643652	0	
13.218	0.0	0	
15.887	0.0	0	
20.41	0.0	0	
19.968	0.52871688	0	
20.005	0.0	0	
23.254	0.291824474	0	
15.217	12.69092178	0	
17.72	0.0	0	
19.003	0.0	0	
20.511	0.051498432	0	
18.683	0.370788458	0	
14.883	17.317197	2	
11.821	2.247045876	0	
21.828	0.514984212	0	
23.149	1.103782968	0	
25.579	1.462554972	1	
23.931	12.03002978	0	
23.369	8.62255836	0	
21.723	8.1882495	0	
14.05	0.0	0	
14.039	0.0	0	
18.991	0.0	0	
23.646	0.0	0	
25.622	0.0	1	
23.666	0.346755938	0	
25.843	0.133895894	1	
27.204	1.156998744	1	
25.665	8.658603979	1	
28.852	1.500318662	1	
18.99	20.48263164	2	
20.678	14.47791754	2	
15.323	1.258278912	0	
24.538	0.0	0	
26.44	0.0	1	
21.467	6.083681018	0	
29.313	10.94169636	1	
23.684	1.0437012	0	
28.285	0.209426652	1	
26.989	18.27162292	2	
30.59	0.020599358	1	
25.972	0.0	1	
29.498	0.0	1	
28.854	0.0	1	
29.569	0.0	1	
23.576	0.357055877	0	
25.099	4.87518156	0	
26.318	15.2435268	2	
19.63	36.39563316	2	
19.936	2.533721076	0	
20.6	2.695083948	0	
21.909	1.709747402	0	
29.983	0.0	1	
29.411	0.0	1	
20.752	1.617050304	0	
23.162	0.0	0	
24.579	0.0	0	
18.008	1.520921916	0	
26.961	0.01373292	1	
27.65	0.9819027	1	
31.4	0.315856922	1	
31.801	0.0686646	1	
23.261	25.70456722	2	
25.22	0.127029449	1	
28.093	0.0	1	
31.837	0.0	1	
31.333	0.0	1	
31.721	0.0	1	
34.592	0.0	1	
32.96	7.99941708	1	
24.881	6.0424794	0	
26.726	0.0	1	
30.402	0.0	1	
30.941	0.0	1	
32.305	0.0	1	
32.172	0.0	1	
31.226	0.0	1	
32.064	0.0	1	
32.603	0.0	1	
30.037	0.068664672	1	
25.592	10.75287006	1	
26.873	0.439453454	1	
26.844	0.0	1	
25.364	0.0	1	
27.81	0.02059938	1	
31.616	0.00686646	1	
31.37	0.0	1	
31.177	14.94827343	1	
34.043	4.331019492	1	
34.879	0.0	1	
35.522	5.400466106	1	
26.386	17.75322	2	
30.414	0.774193694	1	
28.528	4.38766056	1	
29.551	3.273581398	1	
28.613	11.90299861	1	
31.49	4.245183792	1	
36.035	0.0	1	
35.287	0.0	1	
29.261	0.0	1	
28.659	0.0	1	
29.58	0.0	1	
31.435	0.0	1	
33.833	0.0	1	
34.73	0.0	1	
33.407	0.0	1	
34.164	0.0	1	
34.934	0.0	1	
29.66	3.407481785	1	
33.288	0.731277842	1	
36.859	0.0	1	
37.065	0.0	1	
36.134	0.0	1	
36.68	0.017166146	1	
29.615	3.872680834	1	
32.713	3.58857972	1	
34.836	0.0	1	
37.395	0.0	1	
37.328	0.0	1	
38.303	2.9594376	1	
37.422	0.30212388	1	
36.977	0.0	1	
36.561	0.0	1	
35.221	0.504684036	1	
37.467	0.94242096	1	
38.85	1.206779544	1	
35.157	0.95272038	1	
30.872	12.24803968	1	
32.39	4.934405304	1	
35.338	0.037765519	1	
34.973	0.003433226	1	
34.88	1.593017028	1	
29.434	15.59372213	2	
28.688	14.5740492	2	
31.651	10.6962192	1	
37.838	0.0	1	
36.263	2.291679252	1	
35.407	4.199694876	1	
35.658	3.103636946	1	
36.685	4.41341388	1	
35.602	2.53200456	1	
35.383	0.0	1	
34.946	0.006866453	1	
27.529	2.968025004	1	
26.221	14.31313056	2	
26.683	48.4445484	2	
28.893	10.52112704	1	
35.167	0.049781801	1	
35.698	0.0	1	
36.137	0.0	1	
32.456	5.13439272	1	
36.509	4.054641732	1	
35.554	3.41262864	1	
35.867	0.0	1	
38.175	0.0	1	
39.02	0.0	1	
38.467	0.0	1	
37.305	2.56977	1	
34.997	0.3776544	1	
33.329	8.6225544	1	
33.642	5.98240224	1	
32.971	3.07445346	1	
32.942	0.12359628	1	
33.784	1.089191448	1	
34.41	0.360489132	1	
37.153	1.2908934	1	
34.584	0.1579284	1	
36.422	0.0	1	
34.97	0.0	1	
33.286	2.87704548	1	
35.627	0.0	1	
33.706	3.919032	1	
35.28	0.0	1	
36.63	0.72269424	1	
34.501	0.485801532	1	
31.826	2.072812572	1	
32.544	1.187896932	1	
38.116	0.0	1	
35.324	2.425574268	1	
34.808	1.28231064	1	
36.614	0.0	1	
32.535	0.90122184	1	
29.136	8.583067886	1	
35.031	0.127029398	1	
34.756	7.101629064	1	
30.241	11.07386784	1	
35.464	1.27201356	1	
25.035	4.621125312	0	
35.163	0.276374988	1	
33.799	0.0	1	
31.149	0.0	1	
34.092	0.0	1	
32.442	0.0	1	
33.213	0.0	1	
33.668	0.0	1	
29.608	0.0	1	
27.227	0.0	1	
27.314	0.0	1	
28.754	4.846002134	1	
24.59	17.66481984	2	
22.175	31.26639888	2	
24.094	33.86364588	2	
25.742	0.257492102	1	
29.833	0.0	1	
28.181	0.0	1	
27.68	0.0	1	
27.993	0.0	1	
29.765	0.0	1	
29.611	0.0	1	
31.006	0.0	1	
31.148	0.0	1	
34.278	0.0	1	
33.386	0.0	1	
29.274	0.0	1	
33.226	0.0	1	
25.408	0.0	1	
27.273	0.0	1	
29.653	0.0	1	
32.027	0.0	1	
30.815	0.0	1	
32.749	0.473785272	1	
19.769	0.302124204	0	
27.996	0.0	1	
30.071	0.0	1	
26.858	0.0343323	1	
25.124	0.0	0	
27.919	0.0	1	
30.567	0.027465818	1	
31.557	0.0	1	
30.725	0.0	1	
31.284	0.0	1	
32.075	0.0	1	
29.141	0.408554035	1	
23.517	4.48379676	0	
19.99	0.0	0	
22.97	0.0	0	
25.774	0.0	1	
25.108	0.0	0	
27.636	0.0	1	
28.355	0.226593	1	
28.773	0.0	1	
27.537	28.6365291	2	
19.151	7.515324	0	
17.23	0.0	0	
18.934	0.0	0	
18.026	0.0	0	
18.941	0.0	0	
21.565	0.020599373	0	
17.875	1.546667698	0	
18.129	0.0	0	
22.436	0.391387766	0	
24.43	12.01629697	0	
11.782	0.652313196	0	
13.855	0.0	0	
15.708	0.0	0	
14.306	0.0	0	
16.212	0.0	0	
18.226	0.0	0	
20.895	0.0	0	
20.713	0.0	0	
23.268	0.49867632	0	
26.555	0.013732906	1	
25.291	0.072097754	1	
21.729	22.15633627	2	
11.659	22.95971838	2	
10.275	12.5003772	0	
13.434	0.0	0	
15.121	0.62313084	0	
19.111	0.0	0	
23.362	1.114082316	0	
11.611	0.09784692	0	
6.487	0.0	0	
8.4	0.0	0	
12.526	0.0	0	
10.88	0.0	0	
12.122	0.0	0	
16.917	0.0	0	
19.143	0.0	0	
15.252	0.120162946	0	
20.067	0.0	0	
14.736	0.0	0	
17.1	0.0	0	
16.978	0.0	0	
24.483	0.0	0	
18.648	18.32657292	2	
8.742	18.38579404	2	
11.254	0.06179796	0	
8.247	0.386237952	0	
14.05	0.078964214	0	
4.905	0.01373292	0	
10.345	0.0	0	
15.322	0.0	0	
16.179	0.79650833	0	
19.083	5.161860864	0	
22.066	22.68592626	2	
21.5	14.16464209	2	
12.67	0.516701016	0	
15.658	0.0	0	
18.096	0.0	0	
18.663	0.0	0	
12.404	0.14247905	0	
9.225	16.26920094	2	
8.184	0.324439841	0	
8.403	0.0	0	
12.921	0.0	0	
15.461	0.027465826	0	
11.535	8.816532624	0	
10.367	0.212860224	0	
13.268	0.0	0	
15.509	0.604247954	0	
15.685	2.998924452	0	
4.99	3.426360984	0	
8.023	0.964736921	0	
18.859	5.245973892	0	
18.998	0.532148825	0	
8.466	0.030899066	0	
14.265	0.0	0	
20.024	0.0	0	
21.228	0.116729798	0	
23.017	3.0624399	0	
16.726	12.60338501	0	
15.866	0.370788545	0	
14.331	0.878906282	0	
14.484	6.44759856	0	
15.318	15.7980006	2	
14.511	26.48219832	2	
9.289	0.0	0	
16.16	0.0	0	
15.33	0.551033042	0	
15.723	1.144981476	0	
11.296	2.058220512	0	
8.466	2.00586294	0	
7.835	3.92074668	0	
10.753	9.041408064	0	
3.322	1.016235504	0	
5.526	0.0	0	
4.932	0.648021938	0	
10.08	0.05493168	0	
12.401	0.041198724	0	
11.003	7.686141185	0	
13.168	0.0	0	
6.491	0.0	0	
10.634	68.9100139	2	
3.096	8.746143876	0	
6.619	0.375939288	0	
11.562	0.0	0	
11.056	0.0	0	
12.099	0.154495253	0	
17.126	0.64373035	0	
20.838	1.495169568	0	
11.458	6.904217851	0	
6.132	0.003433226	0	
11.235	0.111579854	0	
19.111	1.196479944	0	
25.512	0.238609361	1	
25.164	0.37250568	0	
25.68	0.0	1	
23.335	0.0	0	
19.53	0.279808409	0	
15.082	0.283241484	0	
12.447	0.0	0	
19.593	0.0	0	
22.975	0.0	0	
18.916	4.277801066	0	
13.74	10.97431136	0	
5.182	0.003433226	0	
11.714	0.097847006	0	
16.581	5.700874572	0	
14.732	0.137329106	0	
18.437	0.274658184	0	
27.308	1.1544228	1	
22.736	0.2317428	0	
24.355	0.0	0	
23.884	0.274658069	0	
20.423	0.75616709	0	
26.275	3.80229768	1	
17.652	0.0	0	
18.137	0.0	0	
22.418	0.06437291	0	
25.4	6.40811988	1	
20.051	4.76016696	0	
15.442	0.0	0	
13.59	9.64736496	0	
24.25	7.94276892	0	
18.345	0.0	0	
20.196	0.0	0	
19.899	11.36741398	0	
18.095	0.27637488	0	
18.858	2.301979428	0	
13.212	4.162788446	0	
13.903	27.41775016	2	
24.884	0.775909044	0	
19.825	14.78862412	2	
19.327	0.0	0	
21.721	0.0	0	
24.43	0.0	0	
23.216	5.225371704	0	
23.223	0.937271441	0	
20.729	0.0	0	
22.422	0.0	0	
17.729	1.132965266	0	
30.141	0.144195732	1	
22.139	0.0	0	
23.901	0.0	0	
26.772	0.0	1	
28.35	8.98475634	1	
20.173	29.2270572	2	
8.7	24.25577843	2	
17.463	0.02059938	0	
24.181	0.0	0	
26.931	0.0	1	
23.286	4.919820444	0	
21.525	0.0	0	
25.641	0.0	1	
28.354	0.0	1	
29.468	0.0	1	
28.377	0.0	1	
28.374	0.0	1	
29.226	0.072097812	1	
27.175	15.33279545	2	
21.624	0.178527852	0	
21.016	0.0	0	
24.735	0.0	0	
30.572	0.0	1	
26.227	0.099563594	1	
26.3	2.154350484	1	
25.418	6.162647076	1	
24.558	0.389671574	0	
27.186	1.577569946	1	
30.428	0.0	1	
30.169	0.0	1	
30.983	0.0	1	
25.499	11.3656866	1	
26.356	0.003433226	1	
32.308	0.0	1	
34.259	0.0	1	
33.969	0.872039664	1	
35.232	11.14769268	1	
30.322	33.79327056	2	
24.845	26.77572508	2	
28.173	97.67703578	2	
